
2024/08/16 (22:21:25) | ===> btop++ v.1.3.2
2024/08/16 (22:21:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/16 (22:21:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/25 (14:59:18) | ===> btop++ v.1.3.2
2024/08/25 (14:59:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/25 (14:59:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/10 (15:05:03) | ===> btop++ v.1.3.2
2024/10/10 (15:05:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/10 (15:05:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
